Entry_Date,Exit_Date,Entry_Price,Exit_Price,PnL_Pct,Holding_Days,Exit_Reason,Entry_Mode,Regime,Year
2021-07-13,2021-07-15,15812.35,15924.2,0.71,2,Z_EXIT,A,BULL,2021
2021-07-19,2021-07-20,15752.4,15632.1,-0.76,1,EMA_CROSS,A,BULL,2021
2021-07-23,2021-07-27,15856.05,15746.45,-0.69,4,EMA_CROSS,A,BULL,2021
2021-08-02,2021-08-03,15885.15,16130.75,1.55,1,Z_EXIT,A,BULL,2021
2021-11-10,2021-11-11,18017.2,17873.6,-0.8,1,EMA_CROSS,A,BULL,2021
2021-11-12,2021-11-17,18102.75,17898.65,-1.13,5,EMA_CROSS,B,BULL,2021
2021-12-10,2021-12-15,17511.3,17221.4,-1.66,5,EMA_CROSS,A,BEAR,2021
2021-12-29,2022-01-03,17213.6,17625.7,2.39,5,Z_EXIT,A,BULL,2021
2022-03-14,2022-03-17,16871.3,17287.05,2.46,3,Z_EXIT,A,BULL,2022
2022-05-30,2022-06-10,16661.4,16201.8,-2.76,11,ATR_STOP+EMA_CROSS,A,BEAR,2022
2022-06-30,2022-07-11,15780.25,16216.0,2.76,11,Z_EXIT,A,BULL,2022
2022-08-30,2022-09-16,17759.3,17530.85,-1.29,17,ATR_STOP,B,BULL,2022
2022-09-20,2022-09-21,17816.25,17718.35,-0.55,1,EMA_CROSS,A,BULL,2022
2022-10-18,2022-10-24,17486.95,17730.75,1.39,6,Z_EXIT,A,BULL,2022
2023-01-18,2023-01-25,18165.35,17891.95,-1.51,7,EMA_CROSS,A,BEAR,2023
2023-02-09,2023-02-13,17893.45,17770.9,-0.68,4,EMA_CROSS,A,BEAR,2023
2023-03-08,2023-03-10,17754.4,17412.9,-1.92,2,ATR_STOP+EMA_CROSS,A,BEAR,2023
2023-03-31,2023-04-05,17359.75,17557.05,1.14,5,Z_EXIT,A,BULL,2023
2023-09-04,2023-09-07,19528.8,19727.05,1.02,3,Z_EXIT,A,BULL,2023
2023-10-11,2023-10-19,19811.35,19624.7,-0.94,8,EMA_CROSS,A,BULL,2023
2023-11-07,2023-11-15,19406.7,19675.45,1.38,8,Z_EXIT,A,BULL,2023
2024-01-18,2024-01-19,21462.25,21622.4,0.75,1,EMA_CROSS,A,BULL,2024
2024-01-31,2024-02-02,21725.7,21853.8,0.59,2,Z_EXIT,A,BULL,2024
2024-02-08,2024-02-15,21717.95,21910.75,0.89,7,Z_EXIT,A,BULL,2024
2024-03-28,2024-04-01,22326.9,22462.0,0.61,4,Z_EXIT,A,BULL,2024
2024-04-15,2024-04-16,22272.5,22147.9,-0.56,1,EMA_CROSS,A,BEAR,2024
2024-04-25,2024-04-29,22570.35,22643.4,0.32,4,Z_EXIT,A,BULL,2024
2024-05-06,2024-05-07,22442.7,22302.5,-0.62,1,EMA_CROSS,A,BULL,2024
2024-05-17,2024-05-23,22466.1,22967.65,2.23,6,Z_EXIT,A,BULL,2024
2024-05-30,2024-06-03,22488.65,23263.9,3.45,4,Z_EXIT,A,BULL,2024
2024-06-06,2024-06-07,22821.4,23290.15,2.05,1,Z_EXIT,A,BULL,2024
2024-08-19,2024-08-22,24572.65,24811.5,0.97,3,Z_EXIT,A,BULL,2024
2024-09-12,2024-09-30,25388.9,25810.85,1.66,18,ATR_STOP,B,BULL,2024
2024-11-26,2024-12-03,24194.5,24457.15,1.09,7,Z_EXIT,A,BEAR,2024
2025-01-31,2025-02-04,23508.4,23739.25,0.98,4,Z_EXIT,A,BEAR,2025
2025-03-18,2025-03-20,22834.3,23190.65,1.56,2,Z_EXIT,A,BULL,2025
2025-04-16,2025-04-17,23437.2,23851.65,1.77,1,Z_EXIT,A,BULL,2025
2025-06-06,2025-06-09,25003.05,25103.2,0.4,3,Z_EXIT,A,BULL,2025
2025-06-13,2025-06-18,24718.6,24812.05,0.38,5,EMA_CROSS,A,BULL,2025
2025-06-20,2025-06-25,25112.4,25244.75,0.53,5,Z_EXIT,A,BULL,2025
2025-08-18,2025-08-26,24876.95,24712.05,-0.66,8,ATR_STOP,A,BEAR,2025
2025-09-08,2025-09-10,24773.15,24973.1,0.81,2,Z_EXIT,A,BULL,2025
2025-10-07,2025-10-09,25108.3,25181.8,0.29,2,Z_EXIT,A,BULL,2025
2025-11-12,2025-11-25,25875.8,25884.8,0.03,13,ATR_STOP,B,BULL,2025
2025-12-02,2025-12-05,26032.2,26186.45,0.59,3,Z_EXIT,A,BULL,2025
2025-12-08,2025-12-09,25960.55,25839.65,-0.47,1,EMA_CROSS,A,BULL,2025
2025-12-22,2025-12-30,26172.4,25938.85,-0.89,8,EMA_CROSS,A,BULL,2025
