Date,Price,Open,High,Low,Vol.,Change %,Years_Elapsed,Trend_Line,Log_Price,Log_Trend,Residual,Rolling_Mean,Rolling_Std,Lower_Band,Upper_Band,Fast_EMA,Slow_EMA,Prev_Fast_EMA,Prev_Slow_EMA,Prev_Close,TR,ATR,SMA_Regime,Bull_Regime,Bear_Lower_Band,Vol_MA,RSI,Z_Score,Signal
2016-03-03,7475.6,7429.55,7483.95,7406.05,287250000.0,1.45%,0.1697467488021903,8130.130498634014,8.919399662596147,9.003332253905532,-0.08393259130938446,-0.10669380686932861,0.028640489067516154,-0.11528595358958346,-0.09810166014907376,7282.775097979549,7206.516538404077,7186.362646969323,7157.5922726593635,7368.85,115.09999999999945,140.52857142857147,,False,-0.13533429593684476,268933500.0,59.23751762961811,0.7947216091976502,0
2016-03-04,7485.35,7505.4,7505.9,7444.1,290440000.0,0.13%,0.17248459958932238,8132.851406410779,8.920703055947547,9.003666867547487,-0.08296381159994048,-0.10623153402841871,0.028915749973616553,-0.11490625902050368,-0.09755680903633375,7350.3000653197005,7249.413994034219,7282.775097979549,7206.516538404077,7475.6,61.79999999999927,130.52499999999995,,False,-0.13514728400203527,270579500.0,59.577950526386786,0.8046729706028125,0
2016-03-08,7485.3,7486.4,7527.15,7442.15,264940000.0,0.00%,0.1834360027378508,8143.74414661789,8.920696376210861,9.00500532211531,-0.08430894590444815,-0.10646354475040135,0.028703153631136073,-0.11507449083974217,-0.09785259866106052,7395.300043546467,7285.704148798186,7350.3000653197005,7249.413994034219,7485.35,85.0,124.67142857142855,,False,-0.13516669838153741,274988500.0,59.5752027176688,0.7718524288536971,0
2016-03-09,7531.8,7436.1,7539.0,7424.3,252710000.0,0.62%,0.1861738535249829,8146.469610469207,8.926889336052218,9.005339935757265,-0.07845059970504664,-0.10652828424931009,0.02863537079880411,-0.11511889548895132,-0.09793767300966885,7440.800029030979,7323.5650489830805,7395.300043546467,7285.704148798186,7485.3,114.69999999999982,121.21785714285708,,False,-0.1351636550481142,276687500.0,61.3600659608073,0.9805245666815687,0
2016-03-10,7486.15,7545.35,7547.1,7447.4,231580000.0,-0.61%,0.188911704312115,8149.195986450506,8.92080992566678,9.00567454939922,-0.08486462373243953,-0.10679168837169843,0.028389317140323667,-0.11530848351379554,-0.09827489322960133,7455.916686020653,7348.578118370298,7440.800029030979,7323.5650489830805,7531.8,99.70000000000073,120.72142857142853,,False,-0.1351810055120221,275542500.0,58.62352750901191,0.7723702733277126,0
2016-03-11,7510.2,7484.85,7543.95,7460.6,204810000.0,0.32%,0.19164955509924708,8151.923274867048,8.924017375562032,9.006009163041176,-0.0819917874791436,-0.10688941622352459,0.02829545221106275,-0.11537805188684341,-0.09840078056020576,7474.011124013769,7373.443023236407,7455.916686020653,7348.578118370298,7486.15,83.34999999999945,120.89642857142846,,False,-0.13518486843458732,270718000.0,59.644645403603,0.8799162691821797,0
2016-03-14,7538.75,7542.6,7583.7,7515.05,172070000.0,0.38%,0.1998631074606434,8160.1106177823,8.927811664765196,9.007013003967042,-0.07920133920184647,-0.10750081238350168,0.027452155197732298,-0.11573645894282136,-0.09926516582418199,7495.590749342513,7398.874865815421,7474.011124013769,7373.443023236407,7510.2,73.5,122.45357142857132,7380.384,True,-0.13495296758123398,262111000.0,60.878912244098395,1.0308652627751758,0
2016-03-15,7460.6,7535.85,7545.2,7452.8,199650000.0,-1.04%,0.2026009582477755,8162.841558994489,8.917391118917996,9.007347617608998,-0.0899564986910022,-0.10840374168442797,0.02635717255076732,-0.11631089344965817,-0.10049658991919777,7483.927166228343,7408.3710403053565,7495.590749342513,7398.874865815421,7538.75,92.39999999999964,118.26785714285701,7370.331999999999,True,-0.1347609142351953,253832500.0,55.84399936302582,0.699894609632122,0
2016-03-16,7498.75,7457.05,7508.0,7405.15,201430000.0,0.51%,0.2053388090349076,8165.573414169765,8.922491618967303,9.007682231250953,-0.08519061228365032,-0.10869076728788057,0.02604368559022687,-0.11650387296494863,-0.10087766161081252,7488.868110818896,7422.275495642994,7483.927166228343,7408.3710403053565,7460.6,102.85000000000036,118.48571428571417,7364.481,True,-0.13473445287810745,250823500.0,57.683845534371216,0.90233599706214,0
2016-03-17,7512.55,7557.4,7585.3,7479.4,247040000.0,0.18%,0.2080766598220397,8168.306183614004,8.924330234395358,9.008016844892909,-0.08368661049755133,-0.10849469726280875,0.02621419379976761,-0.11635895540273904,-0.10063043912287846,7496.762073879265,7436.163880928687,7488.868110818896,7422.275495642994,7498.75,105.90000000000055,120.84999999999991,7359.038999999999,True,-0.13470889106257636,249774500.0,58.35973318834836,0.9463608514818161,0
2016-03-18,7604.35,7534.65,7613.6,7517.9,244730000.0,1.22%,0.2108145106091718,8171.039867633187,8.936475730955147,9.008351458534865,-0.07187572757971772,-0.10808430824088641,0.0266997264100938,-0.11609422616391456,-0.10007439031785827,7532.62471591951,7462.038668478121,7496.762073879265,7436.163880928687,7512.55,101.05000000000018,122.18928571428569,7356.306,True,-0.1347840346509802,249294500.0,62.63516219452798,1.356140512641361,0
2016-03-21,7704.25,7619.2,7713.55,7617.7,202850000.0,1.31%,0.2190280629705681,8179.2464102017075,8.949527403626425,9.009355299460731,-0.05982789583430659,-0.10764211221886656,0.027399889395493114,-0.1158620790375145,-0.09942214540021863,7589.83314394634,7499.301950250718,7532.62471591951,7462.038668478121,7604.35,109.19999999999982,110.78928571428567,7359.025,True,-0.13504200161435967,249526500.0,66.64836259303375,1.7450514377778736,0
2016-03-22,7714.9,7695.55,7728.2,7643.8,215360000.0,0.14%,0.22176591375770022,8181.98375558249,8.950908802950456,9.009689913102687,-0.0587811101522302,-0.1066751256804606,0.02860981959764499,-0.1152580715597541,-0.0980921798011671,7631.522095964227,7532.4708809813765,7589.83314394634,7499.301950250718,7704.25,84.39999999999964,99.07142857142851,7361.295999999999,True,-0.13528494527810558,252336500.0,67.05461055374585,1.6740411579586747,0
2016-03-23,7716.5,7717.45,7726.85,7670.6,205800000.0,0.02%,0.2245037645448323,8184.72201706964,8.951116172340885,9.01002452674464,-0.05890835440375497,-0.10529696686887793,0.029896703865596348,-0.11426597802855684,-0.09632795570919903,7659.848063976153,7560.783053138088,7631.522095964227,7532.4708809813765,7714.9,56.25,91.79999999999993,7364.348999999999,True,-0.13519367073447427,252606500.0,67.11940961264685,1.551629660368837,0
2016-03-28,7615.1,7741.0,7749.4,7587.7,249900000.0,-1.31%,0.23819301848049282,8198.427076835285,8.937888397219401,9.011697594954418,-0.0738091977350166,-0.10402539788725633,0.03041052497754225,-0.113148555380519,-0.09490224039399366,7644.932042650769,7569.1395065014585,7659.848063976153,7560.783053138088,7716.5,161.69999999999982,95.12857142857138,7366.445,True,-0.13443592286479858,254806500.0,59.17575236769974,0.9936099483502497,0
2016-03-29,7597.0,7606.55,7652.9,7582.25,223490000.0,-0.24%,0.24093086926762491,8201.170841402698,8.935508711503221,9.012032208596374,-0.07652349709315232,-0.10170870675449889,0.02974062684961158,-0.11063089480938236,-0.09278651869961542,7628.954695100513,7573.425736270465,7644.932042650769,7569.1395065014585,7615.1,70.64999999999964,95.76071428571426,7367.137000000001,True,-0.13144933360411049,251384500.0,57.85940166223267,0.8468284743526009,0
2016-03-30,7735.2,7651.1,7741.95,7643.45,239840000.0,1.82%,0.243668720054757,8203.915524224787,8.953536619169338,9.012366822238329,-0.05883020306899134,-0.09881305714282078,0.029538086123386417,-0.1076744829798367,-0.08995163130580486,7664.369796733676,7598.314084536547,7628.954695100513,7573.425736270465,7597.0,144.94999999999982,100.0428571428571,7371.105,True,-0.1283511432662072,252719500.0,64.37553959302892,1.3536034090635787,0
2016-03-31,7738.4,7727.65,7777.6,7702.0,391910000.0,0.04%,0.2464065708418891,8206.661125608864,8.953950226868336,9.012701435880285,-0.05875120901194819,-0.09673920958596209,0.03010762461825558,-0.10577149697143877,-0.08770692220048541,7689.046531155784,7619.865763838618,7664.369796733676,7598.314084536547,7735.2,75.60000000000036,97.25,7377.116999999999,True,-0.12684683420421766,247916500.0,64.51237331666991,1.2617402088565997,0
2016-04-01,7713.05,7718.05,7740.15,7666.1,189570000.0,-0.33%,0.24914442162902123,8209.407645862346,8.950668978474896,9.01303604952224,-0.06236707104734407,-0.09423665203448385,0.02972535161968759,-0.10315425752039013,-0.08531904654857757,7697.04768743719,7634.201800171138,7689.046531155784,7619.865763838618,7738.4,74.04999999999927,95.41785714285705,7384.357999999999,True,-0.12396200365417144,243217000.0,62.46546907982397,1.0721347015465423,0
2016-04-04,7758.8,7733.15,7764.45,7704.4,160280000.0,0.59%,0.25735797399041754,8217.652722914898,8.956582962044136,9.014039890448107,-0.057456928403970764,-0.0918427645460189,0.029698218950600215,-0.10075223023119897,-0.08293329886083883,7717.631791624794,7653.370753990963,7697.04768743719,7634.201800171138,7713.05,60.05000000000018,93.75357142857138,7390.832,True,-0.12154098349661913,233782500.0,64.64566251254988,1.157841694117929,0
2016-04-05,7603.2,7736.3,7736.3,7588.65,210130000.0,-2.01%,0.2600958247775496,8220.402921722196,8.936324490288216,9.014374504090062,-0.07805001380184606,-0.090512503398872,0.029380204802398304,-0.09932656483959149,-0.08169844195815251,7679.487861083196,7645.652176453892,7717.631791624794,7653.370753990963,7758.8,170.15000000000055,100.65714285714284,7396.71,True,-0.1198927082012703,229926500.0,53.30507033931146,0.42417980680681383,0
2016-04-06,7614.35,7636.05,7638.65,7591.75,170650000.0,0.15%,0.26283367556468173,8223.154040937516,8.937789903839718,9.014709117732018,-0.07691921389229961,-0.0892213428786271,0.02908688821383364,-0.09794740934277718,-0.08049527641447701,7657.7752407221315,7640.836456999447,7679.487861083196,7645.652176453892,7603.2,46.899999999999636,97.40714285714284,7403.460999999999,True,-0.11830823109246073,223937000.0,53.92877084955481,0.4229441422502057,0
2016-04-07,7546.45,7630.4,7630.75,7535.85,241680000.0,-0.89%,0.2655715263518138,8225.906080868888,8.928832532989512,9.015043731373973,-0.08621119838446134,-0.08831629355794059,0.028730044584480263,-0.09693530693328467,-0.0796972801825965,7620.6668271480885,7626.3154636149175,7657.7752407221315,7640.836456999447,7614.35,94.89999999999964,96.83928571428565,7405.941000000001,True,-0.11704633814242085,222774000.0,49.58528162652699,0.07327155957900607,0
2016-04-08,7555.2,7542.35,7569.35,7526.7,147820000.0,0.12%,0.2683093771389459,8228.659041824452,8.929991346891194,9.015378345015929,-0.0853869981247346,-0.08679164344633658,0.027570085315048735,-0.0950626690408512,-0.07852061785182196,7598.844551432059,7615.374623058777,7620.6668271480885,7626.3154636149175,7546.45,42.650000000000546,92.32142857142851,7408.321999999999,True,-0.11436172876138531,217529500.0,50.14255869830085,0.05094816739051844,0
2016-04-11,7671.4,7577.8,7678.8,7516.85,185350000.0,1.54%,0.27652292950034224,8236.92345391918,8.945254407039922,9.016382185941795,-0.07112777890187338,-0.0843518344069287,0.02546140246170414,-0.09199025514543994,-0.07671341366841745,7623.029700954707,7623.993911818965,7598.844551432059,7615.374623058777,7555.2,161.94999999999982,96.67142857142848,7412.995,True,-0.10981323686863284,215218000.0,56.948455027842506,0.5193765553545326,0
2016-04-12,7708.95,7669.25,7717.4,7663.35,168510000.0,0.49%,0.2792607802874743,8239.68010205492,8.950137270512688,9.016716799583751,-0.06657952907106335,-0.08152003953768254,0.022254120888664478,-0.08819627580428188,-0.0748438032710832,7651.669800636471,7637.064079231432,7623.029700954707,7623.993911818965,7671.4,54.04999999999927,92.73214285714273,7418.681,True,-0.10377416042634702,213403000.0,58.900888620857096,0.6713592750468701,1
2016-04-13,7850.45,7777.15,7864.8,7772.2,227220000.0,1.84%,0.28199863107460643,8242.437672757074,8.968326133974212,9.017051413225706,-0.04872527925149406,-0.07836361052076259,0.019746112605961968,-0.08428744430255118,-0.07243977673897399,7717.929867090981,7669.8926824265955,7651.669800636471,7637.064079231432,7708.95,155.85000000000036,97.8357142857142,7424.419,True,-0.09810972312672456,216160500.0,65.2891659447564,1.500970437103645,1
2016-04-18,7914.7,7908.15,7920.6,7842.75,190260000.0,0.82%,0.29568788501026694,8256.239375574121,8.976477068880426,9.018724481435484,-0.04224741255505826,-0.0747547009957416,0.015553282585700363,-0.0794206857714517,-0.07008871622003149,7783.519911393987,7707.555346668658,7717.929867090981,7669.8926824265955,7850.45,77.85000000000036,99.37857142857138,7431.593999999999,True,-0.09030798358144196,215691000.0,67.74106575523781,2.0900596553534254,1
